iter	Passed	Remaining
1107	26950	21696
1108	26967	21666
1109	26986	21637
1110	27008	21611
1111	27026	21582
1112	27048	21556
1113	27065	21526
1114	27083	21496
1115	27101	21467
1116	27119	21438
1117	27137	21408
1118	27154	21379
1119	27172	21350
1120	27191	21321
1121	27210	21292
1122	27230	21265
1123	27250	21237
1124	27270	21210
1125	27290	21183
1126	27313	21157
1127	27338	21133
1128	27359	21106
1129	27376	21077
1130	27394	21048
1131	27412	21019
1132	27430	20990
1133	27448	20961
1134	27466	20932
1135	27485	20904
1136	27507	20878
1137	27525	20849
1138	27547	20823
1139	27566	20795
1140	27586	20768
1141	27605	20740
1142	27628	20715
1143	27650	20689
1144	27672	20663
1145	27691	20635
1146	27709	20606
1147	27726	20577
1148	27745	20549
1149	27765	20522
1150	27787	20496
1151	27808	20469
1152	27830	20444
1153	27849	20416
1154	27868	20388
1155	27890	20362
1156	27910	20335
1157	27929	20307
1158	27948	20280
1159	27972	20255
1160	27991	20228
1161	28010	20200
1162	28028	20172
1163	28046	20143
1164	28064	20114
1165	28081	20086
1166	28102	20059
1167	28120	20031
1168	28139	20003
1169	28156	19974
1170	28174	19945
1171	28192	19917
1172	28210	19889
1173	28231	19862
1174	28248	19834
1175	28268	19807
1176	28286	19778
1177	28305	19751
1178	28323	19723
1179	28346	19698
1180	28367	19672
1181	28388	19646
1182	28421	19628
1183	28443	19602
1184	28463	19576
1185	28484	19550
1186	28509	19526
1187	28533	19502
1188	28554	19476
1189	28574	19449
1190	28594	19423
1191	28614	19396
1192	28634	19369
1193	28654	19342
1194	28674	19316
1195	28695	19290
1196	28716	19264
1197	28736	19237
1198	28759	19212
1199	28781	19187
1200	28802	19161
1201	28823	19135
1202	28843	19109
1203	28865	19084
1204	28889	19059
1205	28910	19034
1206	28933	19009
1207	28954	18983
1208	28976	18957
1209	28997	18932
1210	29023	18909
1211	29043	18882
1212	29062	18855
1213	29082	18829
1214	29105	18804
1215	29130	18781
1216	29150	18755
1217	29171	18728
1218	29192	18703
1219	29212	18676
1220	29236	18652
1221	29259	18628
1222	29283	18604
1223	29306	18579
1224	29327	18553
1225	29349	18529
1226	29380	18509
1227	29403	18484
1228	29423	18458
1229	29443	18432
1230	29464	18406
1231	29486	18380
1232	29505	18354
1233	29525	18328
1234	29547	18302
1235	29567	18276
1236	29588	18250
1237	29609	18224
1238	29629	18198
1239	29650	18172
1240	29672	18147
1241	29692	18121
1242	29713	18095
1243	29733	18069
1244	29758	18046
1245	29783	18022
1246	29804	17997
1247	29827	17973
1248	29854	17950
1249	29879	17927
1250	29903	17903
1251	29924	17877
1252	29947	17853
1253	29970	17829
1254	29995	17806
1255	30023	17784
1256	30049	17762
1257	30074	17738
1258	30100	17715
1259	30126	17693
1260	30149	17668
1261	30171	17643
1262	30195	17620
1263	30216	17594
1264	30236	17568
1265	30256	17541
1266	30278	17517
1267	30301	17492
1268	30323	17467
1269	30346	17443
1270	30370	17419
1271	30394	17395
1272	30417	17371
1273	30436	17344
1274	30457	17318
1275	30478	17293
1276	30500	17268
1277	30521	17242
1278	30544	17218
1279	30568	17194
1280	30591	17170
1281	30611	17144
1282	30635	17120
1283	30659	17096
1284	30679	17070
1285	30701	17045
1286	30722	17020
1287	30745	16996
1288	30771	16973
1289	30795	16949
1290	30814	16922
1291	30838	16898
1292	30858	16873
1293	30882	16849
1294	30905	16825
1295	30928	16800
1296	30952	16776
1297	30976	16752
1298	30996	16727
1299	31020	16703
1300	31040	16677
1301	31061	16652
1302	31081	16626
1303	31102	16600
1304	31122	16575
1305	31155	16555
1306	31176	16530
1307	31200	16506
1308	31223	16482
1309	31243	16456
1310	31264	16430
1311	31285	16405
1312	31307	16380
1313	31334	16358
1314	31359	16335
1315	31382	16311
1316	31401	16285
1317	31422	16259
1318	31441	16233
1319	31463	16208
1320	31484	16183
1321	31505	16158
1322	31525	16132
1323	31545	16106
1324	31566	16080
1325	31586	16055
1326	31607	16029
1327	31627	16004
1328	31646	15978
1329	31666	15952
1330	31687	15926
1331	31707	15901
1332	31728	15876
1333	31748	15850
1334	31770	15825
1335	31790	15800
1336	31813	15775
1337	31832	15749
1338	31852	15723
1339	31872	15698
1340	31892	15672
1341	31916	15649
1342	31936	15623
1343	31957	15598
1344	31978	15573
1345	31998	15547
1346	32021	15523
1347	32040	15497
1348	32060	15471
1349	32079	15445
1350	32099	15420
1351	32120	15394
1352	32139	15368
1353	32158	15342
1354	32179	15317
1355	32200	15293
1356	32223	15268
1357	32245	15244
1358	32265	15218
1359	32293	15197
1360	32315	15172
1361	32340	15149
1362	32360	15123
1363	32383	15099
1364	32404	15074
1365	32427	15050
1366	32448	15025
1367	32468	15000
1368	32489	14975
1369	32512	14951
1370	32537	14927
1371	32558	14902
1372	32578	14877
1373	32602	14853
1374	32621	14827
1375	32640	14802
1376	32662	14777
1377	32682	14752
1378	32702	14726
1379	32725	14702
1380	32748	14678
1381	32769	14653
1382	32789	14628
1383	32807	14602
1384	32828	14577
1385	32848	14551
1386	32868	14526
1387	32888	14501
1388	32915	14478
1389	32940	14455
1390	32962	14431
1391	32982	14406
1392	33001	14380
1393	33026	14357
1394	33045	14331
1395	33066	14306
1396	33086	14281
1397	33105	14255
1398	33125	14230
1399	33144	14204
1400	33164	14179
1401	33183	14154
1402	33204	14129
1403	33227	14104
1404	33254	14082
1405	33274	14057
1406	33294	14032
1407	33317	14008
1408	33340	13984
1409	33360	13959
1410	33380	13934
1411	33403	13910
1412	33428	13886
1413	33451	13863
1414	33471	13837
1415	33494	13814
1416	33515	13789
1417	33539	13765
1418	33562	13741
1419	33585	13718
1420	33610	13694
1421	33633	13670
1422	33654	13646
1423	33675	13621
1424	33700	13598
1425	33720	13573
1426	33746	13550
1427	33766	13525
1428	33785	13500
1429	33808	13476
1430	33830	13451
1431	33852	13427
1432	33874	13403
1433	33896	13379
1434	33919	13354
1435	33939	13330
1436	33961	13305
1437	33981	13280
1438	34001	13255
1439	34020	13230
1440	34039	13204
1441	34059	13179
1442	34081	13155
1443	34107	13132
1444	34126	13107
1445	34146	13082
1446	34166	13057
1447	34186	13032
1448	34210	13008
1449	34232	12984
1450	34258	12961
1451	34284	12939
1452	34304	12914
1453	34326	12890
1454	34349	12866
1455	34375	12843
1456	34400	12820
1457	34423	12796
1458	34443	12771
1459	34465	12747
1460	34489	12724
1461	34512	12700
1462	34532	12675
1463	34555	12651
1464	34575	12626
1465	34598	12602
1466	34618	12577
1467	34639	12553
1468	34659	12528
1469	34682	12504
1470	34705	12480
1471	34725	12456
1472	34746	12431
1473	34766	12406
1474	34785	12381
1475	34804	12356
1476	34828	12332
1477	34848	12307
1478	34868	12283
1479	34891	12259
1480	34912	12234
1481	34938	12211
1482	34962	12188
1483	34982	12163
1484	35003	12139
1485	35024	12114
